sequence,segment,model,dt_ms,n_frames,delta_FR,delta_anchor,err,median,dir,beta,secs
dynamic_rotation,seg_D,thesis_cmax,20,75,0.02,0.9,10.77,10.01,12.55,0.838,56
dynamic_rotation,seg_D,thesis_cmax,20,75,0.05,0.1,8.54,7.68,12.26,0.893,56
dynamic_rotation,seg_D,thesis_cmax,20,75,0.05,0.3,9.74,9.03,12.5,0.858,56
dynamic_rotation,seg_D,thesis_cmax,20,75,0.05,0.5,10.17,9.39,12.53,0.849,61
dynamic_rotation,seg_D,thesis_cmax,20,75,0.05,0.7,10.38,9.41,12.54,0.845,59
dynamic_rotation,seg_D,thesis_cmax,20,75,0.05,0.9,10.5,9.63,12.54,0.843,59
dynamic_rotation,seg_D,thesis_cmax,20,75,0.1,0.1,8.32,7.66,11.96,0.928,59
dynamic_rotation,seg_D,thesis_cmax,20,75,0.1,0.3,8.98,8.36,12.43,0.877,59
dynamic_rotation,seg_D,thesis_cmax,20,75,0.1,0.5,9.56,8.79,12.49,0.862,60
dynamic_rotation,seg_D,thesis_cmax,20,75,0.1,0.7,9.89,9.03,12.51,0.855,58
dynamic_rotation,seg_D,thesis_cmax,20,75,0.1,0.9,10.09,9.37,12.52,0.851,142
dynamic_rotation,seg_D,thesis_cmax,20,75,0.3,0.1,9.16,9.05,11.19,0.989,161
dynamic_rotation,seg_D,thesis_cmax,20,75,0.3,0.3,8.4,7.75,12.1,0.929,229
dynamic_rotation,seg_D,thesis_cmax,20,75,0.3,0.5,8.48,7.54,12.32,0.902,314
dynamic_rotation,seg_D,thesis_cmax,20,75,0.3,0.7,8.73,8.01,12.41,0.887,311
dynamic_rotation,seg_D,thesis_cmax,20,75,0.3,0.9,8.98,8.37,12.44,0.877,318
dynamic_rotation,seg_D,thesis_cmax,20,75,0.5,0.1,9.76,9.2,11.11,1.015,312
dynamic_rotation,seg_D,thesis_cmax,20,75,0.5,0.3,8.71,8.12,11.79,0.958,195
